Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Solo,Def_Int,Sk,College/Univ
1,1,JAX,Travon Walker,DE,21,2024,0,0,3,21,21,49,0,0,0,0,0,0,0,0,0,0,0,82,1,24,Georgia
1,2,DET,Aidan Hutchinson,DE,22,2024,0,1,2,20,20,39,0,0,0,0,0,0,0,0,0,0,0,82,4,28,Michigan
1,3,HOU,Derek Stingley Jr.,CB,21,2024,1,1,3,21,21,37,0,0,0,0,0,0,0,0,0,0,0,100,11,1,LSU
1,4,NYJ,Sauce Gardner,CB,22,2024,2,2,3,31,31,48,0,0,0,0,0,0,0,0,0,0,0,128,3,1,Cincinnati
1,5,NYG,Kayvon Thibodeaux,DE,21,2024,0,0,2,21,21,43,0,0,0,0,0,0,0,0,0,0,0,73,0,21,Oregon
1,6,CAR,Ikem Ekwonu,T,21,2024,0,0,3,19,19,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Carolina St.
1,7,NYG,Evan Neal,OL,21,2024,0,0,1,11,11,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Alabama
1,8,ATL,Drake London,WR,21,2024,0,0,3,25,25,50,1,1,22,0,0,1,-3,0,241,3042,15,2,0,0,USC
1,9,SEA,Charles Cross,OL,21,2024,0,0,3,22,22,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mississippi St.
1,10,NYJ,Garrett Wilson,WR,22,2024,0,0,3,24,24,51,0,2,0,0,0,10,9,0,279,3249,14,1,0,0,Ohio St.
1,11,NOR,Chris Olave,WR,22,2024,0,0,3,20,20,39,0,0,0,0,0,1,7,0,191,2565,10,3,0,0,Ohio St.
1,12,DET,Jameson Williams,WR,21,2024,0,0,1,16,16,33,0,0,0,0,0,15,130,2,83,1396,10,0,0,0,Alabama
1,13,PHI,Jordan Davis,DT,22,2024,0,0,2,16,16,47,0,0,0,0,0,0,0,0,0,0,0,41,0,3,Georgia
1,14,BAL,Kyle Hamilton,S,21,2024,1,2,2,22,22,48,0,0,0,0,0,0,0,0,0,0,0,186,5,7,Notre Dame
1,15,HOU,Kenyon Green,OL,21,2024,0,0,2,8,8,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Texas A&M
1,16,WAS,Jahan Dotson,WR,22,2024,0,0,2,11,8,46,0,0,0,0,0,3,6,0,103,1257,11,2,0,0,Penn St.
1,17,LAC,Zion Johnson,G,22,2024,0,0,3,20,20,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Col.
1,18,TEN,Treylon Burks,WR,22,2024,0,0,1,6,6,27,0,0,0,0,0,11,66,0,53,699,1,0,0,0,Arkansas
1,19,NOR,Trevor Penning,T,23,2024,0,0,1,12,12,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Northern Iowa
1,20,PIT,Kenny Pickett,QB,24,2024,0,0,2,14,13,30,471,755,4765,15,14,106,306,5,0,0,0,2,0,0,Pittsburgh
1,21,KAN,Trent McDuffie,CB,21,2024,1,0,3,28,28,43,0,0,0,0,0,0,0,0,0,0,0,133,2,4,Washington
1,22,GNB,Quay Walker,LB,22,2024,0,0,3,18,18,44,0,0,0,0,0,0,0,0,0,0,0,206,1,6,Georgia
1,23,BUF,Kaiir Elam,CB,21,2024,0,0,0,6,6,29,0,0,0,0,0,0,0,0,0,0,0,56,2,0,Florida
1,24,DAL,Tyler Smith,OL,21,2024,0,2,3,25,25,47,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Tulsa
1,25,BAL,Tyler Linderbaum,OL,22,2024,0,2,3,25,25,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iowa
1,26,NYJ,Jermaine Johnson II,LB,23,2024,0,1,1,14,14,33,0,0,0,0,0,0,0,0,0,0,0,58,1,10,Florida St.
1,27,JAX,Devin Lloyd,LB,23,2024,0,0,3,20,20,48,0,0,0,0,0,0,0,0,0,0,0,195,4,2,Utah
1,28,GNB,Devonte Wyatt,DT,24,2024,0,0,0,6,6,47,0,0,0,0,0,0,0,0,0,0,0,43,0,12,Georgia
1,29,NWE,Cole Strange,OL,24,2024,0,0,2,11,11,30,0,0,0,0,0,0,0,0,0,3,0,1,0,0,Chattanooga
1,30,KAN,George Karlaftis III,DE,21,2024,0,0,3,20,20,49,0,0,0,0,0,0,0,0,0,0,0,68,0,24,Purdue
1,31,CIN,Daxton Hill,DB,21,2024,0,0,1,9,9,37,0,0,0,0,0,0,0,0,0,0,0,103,2,2,Michigan
1,32,MIN,Lewis Cine,DB,22,2024,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Georgia
2,33,TAM,Logan Hall,DE,22,2024,0,0,1,13,13,49,0,0,0,0,0,0,0,0,0,0,0,35,0,8,Houston
