Rnd,Pick,Tm,Player,Pos,Age,AP1,PB,St,College/Univ,-9999
1,1,TEN,Cam Ward,QB,23,0.0,0.0,0.0,Miami (FL),WardCa00
1,2,JAX,Travis Hunter,WR,22,0.0,0.0,0.0,Colorado,HuntTr00
1,3,NYG,Abdul Carter,DE,21,0.0,0.0,0.0,Penn St.,CartAb00
1,4,NWE,Will Campbell,OT,21,0.0,0.0,0.0,LSU,CampWi01
1,5,CLE,Mason Graham,DT,22,0.0,0.0,0.0,Michigan,GrahMa00
1,6,LVR,Ashton Jeanty,RB,21,0.0,0.0,0.0,Boise St.,JeanAs00
1,7,NYJ,Armand Membou,OL,21,0.0,0.0,0.0,Missouri,MembAr00
1,8,CAR,Tetairoa McMillan,WR,22,0.0,0.0,0.0,Arizona,McMiTe00
1,9,NOR,Kelvin Banks,OL,21,0.0,0.0,0.0,Texas,BankKe01
1,10,CHI,Colston Loveland,TE,21,0.0,0.0,0.0,Michigan,LoveCo00
1,11,SFO,Mykel Williams,DL,21,0.0,0.0,0.0,Georgia,WillMy00
1,12,DAL,Tyler Booker,OL,21,0.0,0.0,0.0,Alabama,BookTy00
1,13,MIA,Kenneth Grant,DT,21,0.0,0.0,0.0,Michigan,GranKe01
1,14,IND,Tyler Warren,TE,23,0.0,0.0,0.0,Penn St.,WarrTy00
1,15,ATL,Jalon Walker,DE,21,0.0,0.0,0.0,Georgia,WalkJa02
1,16,ARI,Walter Nolen,DT,21,0.0,0.0,0.0,Mississippi,NoleWa00
1,17,CIN,Shemar Stewart,DE,21,0.0,0.0,0.0,Texas A&M,StewSh00
1,18,SEA,Grey Zabel,OT,23,0.0,0.0,0.0,North Dakota St.,ZabeGr00
1,19,TAM,Emeka Egbuka,WR,22,0.0,0.0,0.0,Ohio St.,EgbuEm01
1,20,DEN,Jahdae Barron,CB,23,0.0,0.0,0.0,Texas,BarrJa01
1,21,PIT,Derrick Harmon,DT,22,0.0,0.0,0.0,Oregon,HarmDe01
1,22,LAC,Omarion Hampton,RB,22,0.0,0.0,0.0,North Carolina,HampOm00
1,23,GNB,Matthew Golden,WR,22,0.0,0.0,0.0,Texas,GoldMa02
1,24,MIN,Donovan Jackson,OL,22,0.0,0.0,0.0,Ohio St.,JackDo03
1,25,NYG,Jaxson Dart,QB,22,0.0,0.0,0.0,Mississippi,DartJa00
1,26,ATL,James Pearce,DE,21,0.0,0.0,0.0,Tennessee,PearJa00
1,27,BAL,Malaki Starks,SAF,21,0.0,0.0,0.0,Georgia,StarMa00
1,28,DET,Tyleik Williams,DT,22,0.0,0.0,0.0,Ohio St.,WillTy02
1,29,WAS,Josh Conerly,OL,21,0.0,0.0,0.0,Oregon,ConeJo00
1,30,BUF,Maxwell Hairston,CB,22,0.0,0.0,0.0,Kentucky,HairMa00
1,31,PHI,Jihaad Campbell,LB,21,0.0,0.0,0.0,Alabama,CampJi00
1,32,KAN,Josh Simmons,OL,22,0.0,0.0,0.0,Ohio St.,SimmJo01
2,33,CLE,Carson Schwesinger,LB,22,0.0,0.0,0.0,UCLA,SchwCa00
2,34,HOU,Jayden Higgins,WR,22,0.0,0.0,0.0,Iowa St.,HiggJa00
2,35,SEA,Nick Emmanwori,SAF,21,0.0,0.0,0.0,South Carolina,EmmaNi00
2,36,CLE,Quinshon Judkins,RB,21,0.0,0.0,0.0,Ohio St.,JudkQu00
2,37,MIA,Jonah Savaiinaea,OL,21,0.0,0.0,0.0,Arizona,SavaJo00
2,38,NWE,TreVeyon Henderson,RB,22,0.0,0.0,0.0,Ohio St.,HendTr02
